Destination_Mailbox,[b]
Destination_Country_Code,[470]
Destination_IMD_Code,[512345]
Destination_Branch_Number,[0005]
Source_Mailbox,[a]
Source_Country_Code,[470]
Source_IMD_Code,[512345]
Source_Branch_Number,[0005]
Business_Period,[0000]
Message_Type,[1]
Sequence_Number,[000000]
Time,[153501]
Transaction_Status,[0]
Message_Flags,[@]
Reconciliation_Period,[0000]
Reconciliation_Currency,[000]
Reconciliation_Amount_Sign,[0]
Reconciliation_Amount,[00000000000000]
Filler,[N       ]
Message_Length,[0320]
Transaction_Definition_Id,[0]
Transaction_Processed_Flag,[0]
BranchPower_Transaction_Reference_Id,[BRFO]
Message_Type1,[1]
BankMaster_Destination_Branch_Number,[00]
BankMaster_Destination_Branch_Number1,[00]
Filler1,[0]
Inter_Branching_Flag,[0]
Device_Id,[0000]
Message_Function_Code,[3]
Transaction_Type,[00]
Force_Post_Flag,[0]
Transaction_Date,[20170222]
User_Id,[RODR]
Transaction_Sequence_Number,[00000]
Transaction_Chain_Number,[00]
Host_Task_Id,[ST01]
BankMaster_Transaction_Type,[  ]
Authorised_Flag,[0]
Directory,[esiubp]
Name_of_File,[glenq0]
Transaction_Type1,[3]
No_of_Fields,[07]
Dsp_of_ACCOUNTNO,[01130021]
Filler12,[   ]
ACCOUNTNO,[01170504637  ]
Dsp_of_FILLER,[02070034]
Filler123,[   ]
FILLER,[       ]
Dsp_of_ACDESCR,[03300047]
Filler1234,[   ]
ACDESCR,[                              ]
Dsp_of_BOOKBALC,[04110089]
Filler12345,[   ]
BOOKBALC,[00000000000]
Dsp_of_CLEARBALC,[05110105]
Filler123456,[   ]
CLEARBALC,[00000000000]
Dsp_of_REPORTBALC,[06150133]
Filler1234567,[   ]
REPORTBALC,[000000000000000]
Dsp_of_LIMIT,[07130410]
Filler12345678,[   ]
LIMIT,[0000000000000]
