name,shorttype,length,index,type,defaultValue,property_Text,properties_Id
Destination_Mailbox,A,1,0,String,b,This field identifies the delivery system to the TPS. Transactions generated by BranchPower set this field to a. Other delivery systems can use any value.,0
Destination_Country_Code,N,3,1,Int,470,The 3-digit ISO country code of the destination bank. This field is used in conjunction with the Destination Interchange Member and the Destination Branch Number to determine the BankMaster branch number for the destination account.,0
Destination_IMD_Code,N,6,4,Int,512345,The 6 -digit IMD of the destination bank.,0
Destination_Branch_Number,N,4,10,Int,0005,The destination branch number.,0
Source_Mailbox,A,1,14,String,a,This field identifies the type of processing to be carried out on the transaction. The following values are currently in use:,0
Source_Country_Code,N,3,15,Int,470,The 3-digit ISO country code of the bank at which the transaction was entered.,0
Source_IMD_Code,N,6,18,Int,512345,The 6-digit IMD of the bank at which the transaction was entered.,0
Source_Branch_Number,N,4,24,Int,0019,The branch number of the branch at which the transaction was entered.,0
Business_Period,N,4,28,Int,0000,Not currently used.,0
Message_Type,N,1,32,Int,1,This field should be set to 1 (response message required from the remote server).,0
Sequence_Number,N,6,33,Int,000000,Used by the TPS system software.,0
Time,N,6,39,Int,153501,The time the transaction was entered. It must be in the format HHMMSS.,0
Transaction_Status,N,1,45,Int,0,This field should have a value of 0 to indicate a normal message. It may be intercepted by the TPS CIO module and amended to:,0
Message_Flags,A,1,46,String,@,This field should have a value of 40HEX for a normal message.,0
Reconciliation_Period,N,4,47,Int,0000,Not currently used.,0
Reconciliation_Currency,N,3,51,Int,000,Not currently used.,0
Reconciliation_Amount_Sign,A,1,54,String,0,Not currently used.,0
Reconciliation_Amount_0,N,14,55,Int,00000000000000,Not currently used.,0
Filler,A,8,69,String,N       ,This field should be set to zeros.,0
Message_Length,N,4,77,Int,0320,The length of the full request message (including the request header).,0
Transaction_Definition_Id,N,1,81,Int,0,This field works in conjunction with the Inter Branching Flag (displacement 0093) to identify inter-branch transactions.,0
Transaction_Processed_Flag,N,1,82,Int,0,This flag can have the following values :,0
BranchPower_Transaction_Reference_Id,A,4,83,String,BRFO,This field is set to BRFO to indicate a BranchPower Front Office message. It is not used by the TPS Transaction Processing Modules.,0
Message_Type_1,N,1,87,Int,1,This field is exactly the same as the Message Type field (displacement 0032).,0
BankMaster_Destination_Branch_Number,N,2,88,Int,00,This field must be set to zeros. The TPS CIO module maps the source country code, IMD and branch number to a BankMaster branch number and inserts this value into this field.,0
BankMaster_Destination_Branch_Number_1,N,2,90,Int,00,This field must be set to zeros. The TPS CIO maps the destination country code, IMD and branch number to a BankMaster branch number and inserts this value into this field.,0
Filler_1,N,1,92,Int,0,This field should be set to zeros.,0
Inter_Branching_Flag,A,1,93,String,0,This flag is used along with the Transaction Definition Id (displacement 0081) to identify inter-branching transactions. This flag can have the following values :,0
Device_Id,N,4,94,Int,0000,The device ID from which the transaction originated. This field must be set to zeros where the device id is unknown.,0
Message_Function_Code,N,1,98,Int,3,This field determines the type of transaction. It can have the following values :,0
Transaction_Type,N,2,99,Int,00,Not currently used.,0
Force_Post_Flag,N,1,101,Int,0,This field determines how the transaction should be treated. It can have the following values :,0
Transaction_Date,N,8,102,Int,20170222,The date the transaction originated from the front-office application. It must be in the format CCYYMMDD.,0
User_Id,A,4,110,String,RODR,The ID of the user who entered the transaction. The TPS uses the first three characters of this field along with the Transaction Sequence Number and Transaction Chain Number to generate a unique transaction reference for the transaction within TPS and Ban,0
Transaction_Sequence_Number,N,5,114,Int,00000,Each transaction must be assigned a unique transaction sequence number. However, each transaction within a chained series of BranchPower transactions must have the same sequence number. The Transaction Chain Number for each transaction in the chain must b,0
Transaction_Chain_Number,N,2,119,Int,00,Each transaction within a chain must be assigned a unique chain number. For transactions that are not part of a chain, this field must be set to 01.,0
Host_Task_Id,A,4,121,String,ST01,This field specifies which TPM should process the transaction. For a full list of valid codes, see the Introduction to this document.,0
BankMaster_Transaction_Type_01,A,2,125,String,  ,The BankMaster transaction type to be used for this transaction. It must exist on the BankMaster Control file. This field is used only for financial messages and on all other messages it should be set to 00.,0
Authorised_Flag,A,1,127,String,0,This field must be initialised to 0.,0
Directory,A,6,128,String,esiubp,The easidata directory name,0
Name_of_File,A,6,134,String,glenq0,The easidata parameter file name,0
Transaction_Type_1,N,1,140,Int,3,1- insert , 2 – Amend, 3 - Inquiry,0
No_of_Fields,N,2,141,Int,07,Total number of fields in parameter file,0
Dsp_of_ACCOUNT NO,N,8,143,Int,01130021,01 – Field  number in parameter file,0
Filler     ,A,3,151,String,   ,Filler,0
ACCOUNT NO,A,13,154,String,01170504637  ,Value for field,0
Dsp_of_FILLER ,N,8,167,Int,02070034,,0
Filler     _1,A,3,175,String,   ,Filler,0
FILLER ,A,7,178,String,       ,Value for field,0
Dsp_of_A/C DESCR ,N,8,185,Int,03300047,,0
Filler     _2,A,3,193,String,   ,Filler,0
A/C DESCR ,A,30,196,String,                              ,Value for field,0
Dsp_of_BOOK   BALC,N,8,226,Int,04110089,,0
Filler     _3,A,3,234,String,   ,Filler,0
BOOK   BALC,S,11,237,Int,00000000000,Value for field,0
Dsp_of_CLEAR  BALC,N,8,248,Int,05110105,,0
Filler     _4,A,3,256,String,   ,Filler,0
CLEAR  BALC,S,11,259,Int,00000000000,Value for field,0
Dsp_of_REPORT BALC,N,8,270,Int,06150133,,0
Filler     _5,A,3,278,String,   ,Filler,0
REPORT BALC,S,15,281,Int,000000000000000,Value for field,0
Dsp_of_LIMIT  ,N,8,296,Int,07130410,,0
Filler     _6,A,3,304,String,   ,Filler,0
LIMIT  ,S,13,307,Int,0000000000000,Value for field,0
Destination_Mailbox,A,1,0,String,b,,1
Destination_Country_Code,N,3,1,Int,470,,1
Destination_IMD_Code,N,6,4,Int,512345,,1
Destination_Branch_Number,N,4,10,Int,0005,,1
Source_Mailbox,A,1,14,String,a,,1
Source_Country_Code,N,3,15,Int,470,,1
Source_IMD_Code,N,6,18,Int,512345,,1
Source_Branch_Number,N,4,24,Int,0019,,1
Business_Period,N,4,28,Int,0000,,1
Message_Type,N,1,32,Int,1,,1
Sequence_Number,N,6,33,Int,000000,,1
Time,N,6,39,Int,153501,,1
Transaction_Status,N,1,45,Int,0,,1
Message_Flags,A,1,46,String,@,,1
